Customer Code,DaysPresent,Revenue
CAM0425,1392,6132618.61
CAM0426,1390,344645.42
CAM0427,0,0
CAM0428,1361,3712762.07
CAM0429,1359,2605764.69
CAM0431,1330,3819065.1
CAM0432,1323,737666.61
CAM0433,0,0
CAM0436,1256,7040264.34
CAM0437,1235,1297558.54
CAM0438,1224,4872630.09
CAM0439,0,0
CAM0440,0,0
CAM0442,1168,3161103.04
CAM0443,1167,23664756.05
CAM0447,0,0
CAM0448,0,0
CAM0449,0,0
CAM0450,1094,1950160.63
CAM0451,0,0
CAM0452,1088,480674.84
CAM0453,1053,2433807.38
CAM0454,1044,4729267.59
CAM0455,1028,175432.18
CAM0456,936,0
CAM0457,932,2604753.36
CAM0459,892,2448682.16
CAM0461,881,10033581.89
CAM0463,835,2628769.58
CAM0464,834,2545160.93
CAM0465,0,0
CAM0467,791,3570473.19
CAM0469,776,271590.76
CAM0470,730,202159.26
CAM0471,719,790265.68
CAM0473,716,109833215.2
CAM0481,716,55341292.71
CAM0482,716,1828536.22
CAM0486,716,426041.44
CAM0493,716,104881310.7
CAM0497,716,8136840.82
CAM0498,716,61223004.46
CAM0499,709,9637432.14
CAM0501,709,41820254.3
CAM0503,706,4504.78
CAM0504,702,40357.78
CAM0506,0,0
CAM0507,656,6676194.79
CAM0508,647,1424422.65
CAM0510,626,1923811.19
CAM0511,604,657975.9
CAM0512,595,1809154.04
CAM0513,587,8551.06
CAM0514,582,1319599.84
CAM0515,568,15198720.12
CAM0516,0,0
CAM0517,567,365471.26
CAM0520,0,0
CAM0522,559,87920.72
CAM0523,555,2447244.18
CAM0526,549,12980519.35
CAM0527,539,252392.44
CAM0530,528,17714310.91
CAM0531,519,1166737.72
CAM0532,485,246220.26
CAM0534,0,0
CAM0535,481,131846.86
CAM0538,477,13832852.79
CAM0539,476,400784.58
CAM0540,474,139118.64
CAM0541,464,1668918.37
CAM0542,451,2960731.6
CAM0543,0,0
CAM0544,442,414608.98
CAM0545,427,494429.22
CAM0546,425,1621081
CAM0547,0,0
CAM0548,421,3640325.88
CAM0549,414,1351791.25
CAM0553,0,0
CAM0554,381,7210.92
CAM0555,0,0
CAM0556,371,6504700.67
CAM0557,355,3345229.6
CAM0558,0,0
CAM0559,0,0
CAM0560,334,322623.76
CAM0561,330,1125397.92
CAM0562,318,4396369.66
CAM0564,310,11528.54
CAM0565,301,5545648.29
CAM0566,292,158061.68
CAM0568,262,18244.1
CAM0569,0,0
CAM0570,260,6503301.89
CAM0571,234,773229.72
CAM0572,231,250798.2
CAM0573,213,392954.04
CAM0574,182,3337423.82
CAM0576,178,235802.49
CAM0577,176,2859483.97
CAM0578,175,770497.45
CAM0579,175,3741086.6
CAM0580,171,5295079.38
CAM0582,163,1106546
CAM0583,140,3612120.62
CAM0585,136,380820.34
CAM0587,126,8194582.72
CAM0588,122,6228636.7
CAM0589,119,598356.48
CAN0013,0,0
CAN0016,4291,1501120.89
CAN0031,4291,86544992.45
CAN0064,4291,2229147.74
CAN0116,4291,11932726.7
CAN0117,4291,80824.98
CAN0140,4291,1095539.3
CAN0157,4291,0
CAN0158,4291,13918150.16
CAN0168,0,0
CAN0170,4291,38565308.76
CAN0173,4291,104464575.5
CAN0181,4291,19066012.35
CAN0183,4291,4198483.64
CAN0195,4291,1113088.32
CAN0198,4291,540289.07
CAN0223,4291,1694602.74
CAN0237,4219,5657901.16
CAN0247,4146,15413456.42
CAN0257,3977,123859.52
CAN0266,3914,27741.52
CAN0267,0,0
CAN0275,3762,3212389.24
CAN0276,3614,14069047.88
CAN0278,0,0
CAN0279,3544,4026487.14
CAN0281,3535,16321130.02
CAN0282,3503,405242.77
CAN0285,0,0
CAN0288,3402,457164.08
CAN0290,3309,149220.18
CAN0293,0,0
CAN0298,3139,18155005.5
CAN0299,0,0
CAN0302,3054,82209744.16
CAN0304,0,0
CAN0311,2897,81997654.02
CAN0312,2885,11749630.24
CAN0313,2870,4020549.91
CAN0319,2789,852169.36
CAN0321,2779,9746452.9
CAN0322,2767,5951568.41
CAN0331,2600,31962706.55
CAN0334,2578,26490841.12
CAN0335,2535,9768437.96
CAN0337,2518,2450854.58
CAN0341,2399,3819272.22
CAN0345,2331,32184247.31
CAN0350,2283,6812979.35
CAN0351,2269,0
CAN0353,0,0
CAN0358,2133,1121177.76
CAN0361,0,0
CAN0364,2039,1032651
CAN0366,1982,2918997.08
CAN0367,1974,163580.4
CAN0368,0,0
CAN0373,1890,11068113.6
CAN0374,1882,1139762.8
CAN0377,1814,3843995.86
CAN0383,0,0
CAN0384,0,0
CAN0386,1643,9295523.06
CAN0392,1505,16001828.64
CAN0393,1492,22015179.44
CAN0395,1480,14036688.78
CAN0396,0,0
CAN0397,0,0
CAN0398,0,0
CAN0400,0,0
CAN0401,1248,4338669.83
CAN0423,0,0
CAN0427,0,0
CAN0428,1281,6748336.93
CAN0432,0,0
CAN0434,1235,0
CAN0435,1226,8691071.93
CAN0437,0,0
CAN0438,0,0
CAN0439,1202,3501835.3
CAN0440,1199,1113321.27
CAN0441,0,0
CAN0442,1191,6316308.81
CAN0444,0,0
CAN0445,0,0
CAN0452,0,0
CAN0453,1066,881063.82
CAN0454,1063,326623.28
CAN0455,1060,46350902.72
CAN0458,0,0
CAN0459,1055,54932491.26
CAN0460,0,0
CAN0461,1052,590162.36
CAN0462,1052,1246516.3
CAN0465,1025,4223798.66
CAN0468,993,180021.96
CAN0469,992,21119356.06
CAN0470,915,206241.68
CAN0471,912,2587181.91
CAN0472,902,2951661.4
CAN0473,901,1501185.15
CAN0474,897,24749718.37
CAN0476,0,0
CAN0477,869,339799.92
CAN0478,849,34225.03
CAN0479,847,778762.95
CAN0480,840,0
CAN0481,835,142957.43
CAN0482,826,1012264.32
CAN0484,784,15171.14
CAN0485,779,3695836.57
CAN0487,757,6633319.68
CAN0489,723,15190151.81
CAN0492,716,11334878.1
CAN0493,710,45576.38
CAN0494,716,8593105.06
CAN0498,710,22078.74
CAN0499,710,6391.52
CAN0504,716,10173760.7
CAN0505,710,12882.3
CAN0517,716,4470311.82
CAN0518,716,2866644.16
CAN0519,716,735190.68
CAN0520,716,7997216.3
CAN0523,0,0
CAN0525,716,1369253.66
CAN0526,0,0
CAN0528,716,1769782.52
CAN0529,716,37219301.25
CAN0531,714,2540218.83
CAN0534,0,0
CAN0535,709,613015.02
CAN0536,709,10981064.42
CAN0537,0,0
CAN0540,702,5706.04
CAN0541,701,1945895.2
CAN0543,698,1750463.48
CAN0544,680,474381.2
CAN0545,672,3710230.17
CAN0546,671,0
CAN0548,637,92955.44
CAN0549,635,66379.68
CAN0550,626,3439695.42
CAN0551,626,580263.42
CAN0553,622,3427.94
CAN0555,618,103281652.1
CAN0557,608,17854084.62
CAN0558,0,0
CAN0559,598,3499462.21
CAN0560,597,84772.92
CAN0561,597,2671883.04
CAN0563,587,4097456.33
CAN0565,580,1877311.28
CAN0567,574,2629648.72
CAN0568,567,50746.53
CAN0569,0,0
CAN0570,552,3218.72
CAN0572,532,5395935.85
CAN0573,0,0
CAN0575,0,0
CAN0579,0,0
CAN0580,0,0
